state,date,income_mean,income_median
Pahang,2009-01-01,3279,2479.0
Pahang,2012-01-01,3745,3067.0
Pahang,2014-01-01,4343,3389.0
Pahang,2016-01-01,5012,3979.0
Pahang,2019-01-01,5667,4440.0
Pahang,2020-01-01,5144,4033.0
Pahang,2022-01-01,5777,4753.0
Pahang,2024-01-01,6066,4975.0
Perak,1970-01-01,254,
Perak,1974-01-01,305,213.0
Perak,1976-01-01,436,286.0
Perak,1979-01-01,559,394.0
Perak,1984-01-01,883,646.0
Perak,1987-01-01,863,659.0
Perak,1989-01-01,973,719.0
Perak,1992-01-01,1274,958.0
Perak,1995-01-01,1436,1102.0
Perak,1997-01-01,1940,1522.0
Perak,1999-01-01,1743,1350.0
Perak,2002-01-01,2153,1613.0
Perak,2004-01-01,2207,1732.0
Perak,2007-01-01,2545,1905.0
Perak,2009-01-01,2809,2094.0
Perak,2012-01-01,3548,2665.0
Perak,2014-01-01,4268,3451.0
Perak,2016-01-01,5065,4006.0
Perak,2019-01-01,5645,4273.0
Perak,2020-01-01,5081,3759.0
Perak,2022-01-01,5779,4494.0
Perak,2024-01-01,6173,4687.0
Perlis,1970-01-01,140,
Perlis,1974-01-01,206,147.0
Perlis,1976-01-01,338,196.0
Perlis,1979-01-01,316,223.0
Perlis,1984-01-01,692,485.0
Perlis,1987-01-01,711,544.0
Perlis,1989-01-01,817,635.0
Perlis,1992-01-01,1040,761.0
Perlis,1995-01-01,1158,889.0
Perlis,1997-01-01,1507,1114.0
Perlis,1999-01-01,1431,1086.0
Perlis,2002-01-01,2006,1431.0
Perlis,2004-01-01,2046,1459.0
Perlis,2007-01-01,2541,1746.0
Perlis,2009-01-01,2617,1832.0
Perlis,2012-01-01,3538,2387.0
Perlis,2014-01-01,4445,3500.0
Perlis,2016-01-01,4998,4204.0
Perlis,2019-01-01,5476,4594.0
Perlis,2020-01-01,4971,4043.0
Perlis,2022-01-01,5664,4713.0
Perlis,2024-01-01,5996,4950.0
Pulau Pinang,1970-01-01,292,
Pulau Pinang,1974-01-01,471,241.0
Pulau Pinang,1976-01-01,589,363.0
Pulau Pinang,1979-01-01,840,534.0
Pulau Pinang,1984-01-01,1183,812.0
Pulau Pinang,1987-01-01,1130,833.0
Pulau Pinang,1989-01-01,1326,988.0
Pulau Pinang,1992-01-01,1821,1365.0
Pulau Pinang,1995-01-01,2225,1693.0
Pulau Pinang,1997-01-01,3130,2338.0
Pulau Pinang,1999-01-01,3128,2323.0
Pulau Pinang,2002-01-01,3496,2572.0
Pulau Pinang,2004-01-01,3531,2650.0
Pulau Pinang,2007-01-01,4004,2902.0
Pulau Pinang,2009-01-01,4407,3200.0
Pulau Pinang,2012-01-01,5055,4039.0
Pulau Pinang,2014-01-01,5993,4702.0
Pulau Pinang,2016-01-01,6771,5409.0
Pulau Pinang,2019-01-01,7774,6169.0
Pulau Pinang,2020-01-01,6850,5474.0
Pulau Pinang,2022-01-01,8267,6502.0
Pulau Pinang,2024-01-01,9152,7386.0
Sabah,1976-01-01,513,309.0
Sabah,1979-01-01,767,493.0
Sabah,1984-01-01,1212,749.0
Sabah,1987-01-01,1116,726.0
Sabah,1989-01-01,1264,863.0
Sabah,1992-01-01,1490,994.0
Sabah,1995-01-01,1647,1133.0
Sabah,1997-01-01,2057,1390.0
Sabah,1999-01-01,1905,1264.0
Sabah,2002-01-01,2406,1583.0
Sabah,2004-01-01,2487,1606.0
Sabah,2007-01-01,2837,1189.0
Sabah,2009-01-01,3102,2066.0
Sabah,2012-01-01,4013,2860.0
Sabah,2014-01-01,4879,3745.0
Sabah,2016-01-01,5354,4110.0
Sabah,2019-01-01,5745,4235.0
Sabah,2020-01-01,5215,3773.0
Sabah,2022-01-01,6171,4577.0
Sabah,2024-01-01,6498,4890.0
Sarawak,1976-01-01,426,260.0
Sarawak,1979-01-01,582,365.0
Sarawak,1984-01-01,1033,660.0
Sarawak,1987-01-01,1141,754.0
Sarawak,1989-01-01,1190,819.0
Sarawak,1992-01-01,1480,999.0
Sarawak,1995-01-01,1886,1305.0
Sarawak,1997-01-01,2242,1499.0
Sarawak,1999-01-01,2276,1667.0
Sarawak,2002-01-01,2515,1704.0
Sarawak,2004-01-01,2725,1804.0
Sarawak,2007-01-01,3349,2250.0
Sarawak,2009-01-01,3581,2394.0
Sarawak,2012-01-01,4293,3047.0
Sarawak,2014-01-01,4934,3778.0
Sarawak,2016-01-01,5387,4163.0
Sarawak,2019-01-01,5959,4544.0
Sarawak,2020-01-01,5087,3831.0
Sarawak,2022-01-01,6457,4978.0
Sarawak,2024-01-01,6947,5504.0
Selangor,1970-01-01,421,
Selangor,1974-01-01,598,363.0
Selangor,1976-01-01,735,441.0
Selangor,1979-01-01,1067,647.0
Selangor,1984-01-01,1590,1010.0
Selangor,1987-01-01,1558,1049.0
Selangor,1989-01-01,1658,1145.0
Selangor,1992-01-01,2280,1572.0
Selangor,1995-01-01,3162,2255.0
Selangor,1997-01-01,4006,2850.0
Selangor,1999-01-01,3702,2750.0
Selangor,2002-01-01,4406,3144.0
Selangor,2004-01-01,5175,3588.0
Selangor,2007-01-01,5580,4046.0
Selangor,2009-01-01,5962,4306.0
Selangor,2012-01-01,7023,5353.0
Selangor,2014-01-01,8252,6214.0
Selangor,2016-01-01,9463,7225.0
Selangor,2019-01-01,10827,8210.0
Selangor,2020-01-01,9668,7300.0
Selangor,2022-01-01,12233,9983.0
Selangor,2024-01-01,13296,10726.0
Terengganu,1970-01-01,173,
Terengganu,1974-01-01,206,130.0
Terengganu,1976-01-01,339,199.0
Terengganu,1979-01-01,360,258.0
Terengganu,1984-01-01,756,524.0
Terengganu,1987-01-01,694,472.0
Terengganu,1989-01-01,759,520.0
Terengganu,1992-01-01,939,680.0
Terengganu,1995-01-01,1117,756.0
Terengganu,1997-01-01,1497,1026.0
Terengganu,1999-01-01,1599,1155.0
Terengganu,2002-01-01,1837,1331.0
Terengganu,2004-01-01,1984,1353.0
Terengganu,2007-01-01,2463,1796.0
Terengganu,2009-01-01,3017,2096.0
Terengganu,2012-01-01,3967,3034.0
Terengganu,2014-01-01,4816,3777.0
Terengganu,2016-01-01,5776,4694.0
Terengganu,2019-01-01,6815,5545.0
Terengganu,2020-01-01,6051,4790.0
Terengganu,2022-01-01,7248,5878.0
Terengganu,2024-01-01,7627,6627.0
W.P. Kuala Lumpur,1976-01-01,1058,645.0
W.P. Kuala Lumpur,1984-01-01,1920,1217.0
W.P. Kuala Lumpur,1987-01-01,1790,1180.0
W.P. Kuala Lumpur,1989-01-01,1824,1294.0
W.P. Kuala Lumpur,1992-01-01,2429,1753.0
W.P. Kuala Lumpur,1995-01-01,3371,2321.0
W.P. Kuala Lumpur,1997-01-01,4768,3090.0
W.P. Kuala Lumpur,1999-01-01,4105,2828.0
W.P. Kuala Lumpur,2002-01-01,4930,3364.0
W.P. Kuala Lumpur,2004-01-01,5011,3336.0
W.P. Kuala Lumpur,2007-01-01,5322,3697.0
W.P. Kuala Lumpur,2009-01-01,5488,4409.0
W.P. Kuala Lumpur,2012-01-01,8586,5847.0
W.P. Kuala Lumpur,2014-01-01,10629,7620.0
W.P. Kuala Lumpur,2016-01-01,11692,9073.0
W.P. Kuala Lumpur,2019-01-01,13257,10549.0
W.P. Kuala Lumpur,2020-01-01,11728,9093.0
W.P. Kuala Lumpur,2022-01-01,13325,10234.0
W.P. Kuala Lumpur,2024-01-01,13985,10802.0
W.P. Labuan,2007-01-01,3726,2777.0
W.P. Labuan,2009-01-01,4407,3498.0
W.P. Labuan,2012-01-01,6317,5063.0
W.P. Labuan,2014-01-01,7591,5684.0
W.P. Labuan,2016-01-01,8174,5928.0
W.P. Labuan,2019-01-01,8319,6726.0
W.P. Labuan,2020-01-01,7333,6126.0
W.P. Labuan,2022-01-01,8250,6904.0
W.P. Labuan,2024-01-01,8555,7383.0
W.P. Putrajaya,2007-01-01,5294,4288.0
W.P. Putrajaya,2009-01-01,6747,5450.0
W.P. Putrajaya,2012-01-01,8101,6486.0
W.P. Putrajaya,2014-01-01,10401,7512.0
W.P. Putrajaya,2016-01-01,11555,8275.0
W.P. Putrajaya,2019-01-01,12840,9983.0
W.P. Putrajaya,2020-01-01,12322,9743.0
W.P. Putrajaya,2022-01-01,13473,10056.0
W.P. Putrajaya,2024-01-01,13846,10769.0
